State_Name,Rainfall_value,Tmax_value,Tmin_value,Soil Moisture,Time_Stamp
Andaman & Nicobar,,,,,2015-01-01
Andaman & Nicobar,,,,,2015-02-01
Andaman & Nicobar,,,,0.165186213347489,2015-03-01
Andaman & Nicobar,,,,0.256472013619492,2015-04-01
Andaman & Nicobar,,,,0.319297085511955,2015-05-01
Andaman & Nicobar,,,,0.333644451394616,2015-06-01
Andaman & Nicobar,,,,0.347782564961676,2015-07-01
Andaman & Nicobar,,,,0.35400892457714,2015-08-01
Andaman & Nicobar,,,,0.337889962171257,2015-09-01
Andaman & Nicobar,,,,0.308666676590244,2015-10-01
Andaman & Nicobar,,,,0.246271880166361,2015-11-01
Andaman & Nicobar,,,,0.165175892009145,2015-12-01
Andaman & Nicobar,,,,0.134839102480983,2016-01-01
Andaman & Nicobar,,,,0.100661173041715,2016-02-01
Andaman & Nicobar,,,,0.0969296582857763,2016-03-01
Andaman & Nicobar,,,,0.151637557594187,2016-04-01
Andaman & Nicobar,,,,0.302174601155502,2016-05-01
Andaman & Nicobar,,,,0.324269416941896,2016-06-01
Andaman & Nicobar,,,,0.307066694580562,2016-07-01
Andaman & Nicobar,,,,0.346132816765306,2016-08-01
Andaman & Nicobar,,,,0.342379293385204,2016-09-01
Andaman & Nicobar,,,,0.317389339508406,2016-10-01
Andaman & Nicobar,,,,0.310467175425536,2016-11-01
Andaman & Nicobar,,,,0.308092489626974,2016-12-01
Andaman & Nicobar,,,,0.255103781318831,2017-01-01
Andaman & Nicobar,,,,0.172029908813244,2017-02-01
Andaman & Nicobar,,,,0.137524779425384,2017-03-01
Andaman & Nicobar,,,,0.1709184307862,2017-04-01
Andaman & Nicobar,,,,0.228637064300726,2017-05-01
Andaman & Nicobar,,,,0.301213495009238,2017-06-01
Andaman & Nicobar,,,,0.333190004098606,2017-07-01
Andaman & Nicobar,,,,0.339524049859417,2017-08-01
Andaman & Nicobar,,,,0.340220587955396,2017-09-01
Andaman & Nicobar,,,,0.343166888743551,2017-10-01
Andaman & Nicobar,,,,0.295235938972871,2017-11-01
Andaman & Nicobar,,,,0.252431126320659,2017-12-01
Andaman & Nicobar,,,,0.224271396584002,2018-01-01
Andaman & Nicobar,,,,0.157959539189639,2018-02-01
Andaman & Nicobar,,,,0.129638546747319,2018-03-01
Andaman & Nicobar,,,,0.154510720440659,2018-04-01
Andaman & Nicobar,,,,0.214883152941347,2018-05-01
Andaman & Nicobar,,,,0.32713782489199,2018-06-01
Andaman & Nicobar,,,,0.318960413303162,2018-07-01
Andaman & Nicobar,,,,0.321566238542523,2018-08-01
Andaman & Nicobar,,,,0.328904330126632,2018-09-01
Andaman & Nicobar,,,,0.329227793378952,2018-10-01
Andaman & Nicobar,,,,0.304539912906824,2018-11-01
Andaman & Nicobar,,,,0.297841415626338,2018-12-01
Andaman & Nicobar,,,,0.227614431443806,2019-01-01
Andaman & Nicobar,,,,0.135962319659023,2019-02-01
Andaman & Nicobar,,,,0.112872991667232,2019-03-01
Andaman & Nicobar,,,,0.116210037174763,2019-04-01
Andaman & Nicobar,,,,0.173650668614869,2019-05-01
Andaman & Nicobar,,,,0.292613604069058,2019-06-01
Andaman & Nicobar,,,,0.297175349680265,2019-07-01
Andaman & Nicobar,,,,0.337067639428326,2019-08-01
Andaman & Nicobar,,,,0.358189040689995,2019-09-01
Andaman & Nicobar,,,,0.321229852999689,2019-10-01
Andaman & Nicobar,,,,0.266558261159925,2019-11-01
Andaman & Nicobar,,,,0.166386707492317,2019-12-01
Andaman & Nicobar,,,,0.117991817630978,2020-01-01
Andaman & Nicobar,,,,0.0964655699976784,2020-02-01
Andaman & Nicobar,,,,0.085368143176455,2020-03-01
Andaman & Nicobar,,,,0.114898010083147,2020-04-01
Andaman & Nicobar,,,,0.209674483433876,2020-05-01
Andaman & Nicobar,,,,0.312202871283323,2020-06-01
Andaman & Nicobar,,,,0.338071278370312,2020-07-01
Andaman & Nicobar,,,,0.334133630660442,2020-08-01
Andaman & Nicobar,,,,0.334060264343179,2020-09-01
Andaman & Nicobar,,,,0.360092085748373,2020-10-01
Andaman & Nicobar,,,,0.316089428458245,2020-11-01
Andaman & Nicobar,,,,0.280014635182957,2020-12-01
Andaman & Nicobar,,,,0.198945210951425,2021-01-01
